entity,added,deleted,commits
src/slave/cgroups_isolation_module.cpp,1875,713,31
third_party/libprocess/third_party/ry-http-parser-1c3624a/test.c,1874,1874,2
src/tests/persistent_volume_endpoints_tests.cpp,1870,173,12
src/log/replica.cpp,1868,1011,34
third_party/libprocess/third_party/gmock-1.5.0/include/gmock/gmock-generated-matchers.h,1859,1859,2
third_party/gmock-1.5.0/include/gmock/gmock-generated-matchers.h,1859,1859,2
third_party/gmock-1.5.0/include/gmock/gmock-spec-builders.h,1853,1853,2
frameworks/{hadoop-0.20.0/lib/jdiff/hadoop_0.20.0.xml => hadoop-0.20.2/lib/jdiff/hadoop_0.20.1.xml},1853,161,1
third_party/libprocess/third_party/gmock-1.5.0/include/gmock/gmock-spec-builders.h,1853,1853,2
src/tests/reservation_endpoints_tests.cpp,1851,330,27
third_party/protobuf-2.4.1/java/src/main/java/com/google/protobuf/GeneratedMessage.java,1834,1834,2
src/zookeeper/group.cpp,1833,776,53
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/variant.hpp,1828,0,1
src/third_party/boost-1.37.0/boost/variant/variant.hpp,1828,0,1
src/tests/rate_limiting_tests.cpp,1827,759,31
src/webui/master/static/bootstrap/js/bootstrap.js,1824,1824,2
frameworks/new-hadoop-port.patch,1811,0,1
frameworks/hadoop-0.20.0/src/mapred/org/apache/hadoop/mapred/JobHistory.java,1806,0,1
src/third_party/libprocess/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/no_ctps/vector20.hpp,1804,0,1
src/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/no_ctps/vector20.hpp,1804,0,1
src/third_party/libprocess/examples/files/eecsHome.css,1801,0,1
frameworks/hadoop-0.20.0/build.xml,1798,1,2
src/master/hierarchical_allocator_process.hpp,1796,874,53
src/tests/containerizer/filesystem_isolator_tests.cpp,1791,246,33
src/third_party/libprocess/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/plain/vector40.hpp,1784,0,1
src/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/plain/vector40.hpp,1784,0,1
src/third_party/glog-0.3.0/src/logging.cc,1782,1,2
src/v1/resources.cpp,1782,194,22
src/third_party/zookeeper-3.3.0/docs/zookeeperAdmin.pdf,1777,0,1
third_party/libprocess/third_party/gmock-1.6.0/gtest/include/gtest/internal/gtest-port.h,1775,1775,2
third_party/gmock-1.6.0/gtest/include/gtest/internal/gtest-port.h,1775,1775,2
third_party/protobuf-2.3.0/src/google/protobuf/compiler/cpp/cpp_message.cc,1770,1770,2
3rdparty/libprocess/src/tests/http_tests.cpp,1759,312,62
third_party/libprocess/third_party/gmock-1.6.0/include/gmock/gmock-spec-builders.h,1749,1749,2
third_party/gmock-1.6.0/include/gmock/gmock-spec-builders.h,1749,1749,2
third_party/libprocess/third_party/gmock-1.6.0/scripts/generator/cpp/ast.py,1723,1723,2
third_party/gmock-1.6.0/scripts/generator/cpp/ast.py,1723,1723,2
src/third_party/libprocess/third_party/boost-1.37.0/boost/bind.hpp,1719,0,1
src/third_party/boost-1.37.0/boost/bind.hpp,1719,0,1
third_party/libprocess/third_party/gmock-1.5.0/scripts/generator/cpp/ast.py,1717,1717,2
third_party/gmock-1.5.0/scripts/generator/cpp/ast.py,1717,1717,2
src/tests/zookeeper_tests.cpp,1694,1317,44
third_party/protobuf-2.4.1/gtest/build-aux/config.sub,1693,1693,2
third_party/libprocess/third_party/gmock-1.6.0/gtest/build-aux/config.sub,1693,1693,2
third_party/gmock-1.6.0/build-aux/config.sub,1693,1693,2
third_party/protobuf-2.4.1/config.sub,1693,1693,2
third_party/libprocess/third_party/gmock-1.6.0/build-aux/config.sub,1693,1693,2
third_party/gmock-1.6.0/gtest/build-aux/config.sub,1693,1693,2
src/third_party/zookeeper-3.3.0/src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,1668,0,1
src/tests/fetcher_tests.cpp,1668,688,30
src/messaging/messages.hpp,1664,2201,20
src/tests/cluster.hpp,1658,1446,60
src/third_party/libprocess/third_party/libev-3.8/config.sub,1658,0,1
src/third_party/zookeeper-3.2.2/src/c/config.sub,1658,0,1
